hexcode,tailNumber,manuf,ac_type,operator
76ce63,9V-SSC,Airbus,A330 343E,Singapore Airlines
76cee2,9V-SWB,Boeing,777 312ER,Singapore Airlines
76cf28,9V-SYH,Boeing,777 312,Singapore Airlines
76cd66,9V-SKF,Airbus,A380 841,Singapore Airlines
76cd71,9V-SKQ,Airbus,A380 841,Singapore Airlines
76ce4f,9V-SRO,Boeing,777 212ER,Singapore Airlines
76cd64,9V-SKD,Airbus,A380 841,Singapore Airlines
76cc61,9V-SCA,Boeing,787 10,Singapore Airlines
76cf2a,9V-SYJ,Boeing,777 312,Singapore Airlines
76ce4d,9V-SRM,Boeing,777 212ER,Singapore Airlines
76cecc,9V-SVL,Boeing,777 212ER,Singapore Airlines
76ce2d,9V-SQM,Boeing,777 212ER,Singapore Airlines
76cd61,9V-SKA,Airbus,Airbus A380 841,Singapore Airlines
76ce2b,9V-SQK,Boeing,777 212ER,Singapore Airlines
76ce83,9V-STC,Airbus,A330 343E,Singapore Airlines
76cee4,9V-SWD,Boeing,777 312ER,Singapore Airlines
76ce4a,9V-SRJ,Boeing,777 212ER,Singapore Airlines
76cef7,9V-SWW,Boeing,777 312ER,Singapore Airlines
76ce50,9V-SRP,Boeing,777 212ER,Singapore Airlines
76cd68,9V-SKH,Airbus,A380 841,Singapore Airlines
76cdad,9V-SMM,Airbus,A350 941,Singapore Airlines
76cda8,9V-SMH,Airbus,A350 941,Singapore Airlines
76cc62,9V-SCB,Boeing,787 10,Singapore Airlines
76cdb3,9V-SMS,Airbus,A350 941,Singapore Airlines
76ce8f,9V-STO,Airbus,A330 343E,Singapore Airlines
76ce9a,9V-STZ,Airbus,A330 343E,Singapore Airlines
76ce95,9V-STU,Airbus,A330 343E,Singapore Airlines
76cf26,9V-SYF,Boeing,777 312,Singapore Airlines
76cda6,9V-SMF,Airbus,A350 941,Singapore Airlines
76ceec,9V-SWL,Boeing,777 312ER,Singapore Airlines
a73bbf,N565ZC,Boeing,787 10,Singapore Airlines
76cd63,9V-SKC,Airbus,A380 841,Singapore Airlines
76cd76,9V-SKV,Airbus,A380 841,Singapore Airlines
76cee5,9V-SWE,Boeing,777 312ER,Singapore Airlines
76cdae,9V-SMN,Airbus,A350 941,Singapore Airlines
76cda9,9V-SMI,Airbus,A350 941,Singapore Airlines
76cef6,9V-SWV,Boeing,777 312ER,Singapore Airlines
76cd69,9V-SKI,Airbus,A380 841,Singapore Airlines
76ce96,9V-STV,Airbus,A330 343E,Singapore Airlines
