epochTime, takeoff, landing, flyover
1596146400, 33, 45, 188
1596232800, 103, 110, 690
1596319200, 123, 139, 745
1596405600, 121, 120, 685
1596492000, 99, 106, 648
1596578400, 110, 135, 679
1596664800, 101, 108, 755
1596751200, 127, 141, 757
1596837600, 117, 120, 714
1596924000, 110, 124, 630
1597010400, 120, 103, 718
1597096800, 95, 99, 619
1597183200, 104, 98, 721
1597269600, 89, 94, 730
1597356000, 113, 116, 777
1597442400, 100, 94, 707
1597528800, 108, 124, 730
1597615200, 109, 113, 699
1597701600, 88, 89, 673
1597788000, 95, 105, 779
1597874400, 86, 72, 689
1597960800, 110, 118, 654
1598047200, 98, 103, 616
1598133600, 109, 119, 666
1598220000, 56, 45, 300
1598306400, 79, 82, 532
1598392800, 99, 102, 634
1598479200, 100, 87, 601
1598565600, 112, 111, 682
1598652000, 96, 91, 572
1598738400, 108, 105, 674
1598824800, 110, 80, 638
1598911200, 106, 76, 652
1598997600, 120, 124, 675
1599084000, 112, 117, 657
1599170400, 128, 130, 719
1599256800, 102, 101, 650
1599343200, 106, 119, 704
1599429600, 117, 125, 790
1599516000, 95, 98, 674
1599602400, 105, 108, 643
1599688800, 96, 79, 719
1599775200, 126, 108, 824
1599861600, 95, 99, 675
1599948000, 114, 115, 719
1600034400, 106, 104, 624
1600120800, 95, 94, 644
1600207200, 95, 106, 716
1600293600, 85, 80, 758
1600380000, 109, 114, 814
1600466400, 92, 91, 771
1600552800, 106, 115, 731
1600639200, 113, 80, 777
1600725600, 79, 91, 643
1600812000, 100, 106, 695
1600898400, 77, 74, 615
1600984800, 51, 48, 394
1601071200, 70, 45, 537
1601157600, 108, 62, 745
1601244000, 93, 108, 652
1601330400, 83, 91, 582
1601416800, 86, 94, 618
1601503200, 95, 88, 589
1601589600, 98, 56, 740
1601676000, 59, 64, 493
1601762400, 92, 102, 642
1601848800, 93, 97, 595
1601935200, 82, 81, 523
1602021600, 88, 93, 566
1602108000, 79, 89, 524
1602194400, 110, 114, 646
1602280800, 99, 106, 662
1602367200, 106, 119, 655
1602453600, 72, 99, 478
1602540000, 71, 60, 533
1602626400, 83, 100, 549
1602712800, 75, 86, 541
1602799200, 86, 65, 610
1602885600, 87, 77, 692
1602972000, 102, 119, 666
1603058400, 99, 103, 577
1603144800, 66, 74, 502
1603231200, 83, 84, 549
1603317600, 80, 82, 565
1603404000, 93, 99, 628
1603490400, 89, 95, 690
1603576800, 93, 100, 593
1603663200, 82, 88, 566
1603836000, 59, 67, 508
1603922400, 70, 69, 556
1604008800, 72, 84, 555
1604095200, 79, 78, 649
1604181600, 63, 61, 671
1604268000, 60, 67, 635
1604354400, 65, 72, 467
1604440800, 44, 45, 490
1604527200, 55, 59, 549
1604613600, 59, 61, 532
1604700000, 61, 43, 623
1604786400, 46, 48, 560
1604872800, 53, 57, 560
1604959200, 51, 53, 384
1605045600, 34, 39, 373
1605132000, 43, 41, 382
1605218400, 40, 49, 412
1605304800, 52, 60, 433
1605391200, 38, 41, 400
1605477600, 39, 44, 421
1605564000, 47, 49, 431
1605650400, 33, 31, 415
1605736800, 41, 42, 429
1605823200, 38, 50, 413
